case_id,original_shape_MeshVolume,original_shape_Sphericity,original_shape_SurfaceVolumeRatio,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_TotalEnergy,original_glcm_JointEntropy,original_gldm_DependenceNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness
Case086,-0.16623589515439108,-0.5884937703736146,0.10065321738877972,-0.7711192910437629,0.5609483015635334,-0.8613406068561179,-0.39954520878205274,-1.200149763960647,-0.6544193418875299,-0.6732539401105301,0.3629561527763461,-0.5020402438811914,0.9551809557893844,-0.7231109806556183,0.13816654814729093
Case088,0.7366014022017556,0.9825699169890656,-1.2422051223070976,-0.12271794057373246,0.14693137508707316,0.38146636168885717,-0.002363920469284047,0.9378575170544292,0.4064655450881965,-0.5653305719385946,-0.26725074317647146,-0.25189575823691535,-0.10883486361345918,1.0921210201201648,-0.5856917852524184
Case089,-0.9809468465339652,-0.5301562746590045,1.671073140240462,-0.10618552470249251,0.3671783189995023,-0.344882439784204,-0.37493018809197015,-0.36053168224029164,-0.7445635559359415,-0.31150177226469905,1.8909199725022583,-0.10175589159415759,-0.15326835782644127,-0.49958528997455587,1.4617621292079124
Case091,0.6079172154331458,-0.4845688309773824,-0.6149206728090848,0.5543223895940288,0.14604234385122167,0.6656693491194341,0.3968452889952894,1.3165472813366383,0.5231106190583035,0.27587523198996106,-0.518051579522526,0.39489184213625445,-0.9251395636171009,0.6734817627210108,-0.5775801040369475
Case092,-0.4515100456139259,-1.0354839139959329,0.7435694337977685,-0.044354289344055005,-0.1537646571142979,-0.2596541215728291,-0.28449038681481886,0.17640083792501612,-0.21079378999634454,-0.5496946589274133,-0.4487797076375993,-0.22613136513983806,-0.2127936525776827,-0.21783246451471788,-0.10877329788842166
Case095,-0.7296457024535252,0.8841122212339952,0.22605838194944403,-0.4755196952659927,-0.07128315345182605,-0.3754119866061891,-0.39131599524453364,0.07245055085098626,-0.6208442499036079,-0.7397595907064481,0.6293726700761534,-0.31440864479453984,0.4702113043178173,-0.09663267743558025,0.4990596554311727
Case096,2.2858631691493683,0.26132679511894247,-1.6017708250940703,1.3315563444386358,1.5369668287751246,1.0715489038064077,1.3015348787931966,0.35262404329414027,1.1151129754637472,2.242410421354305,-0.543006014791276,0.39213385324047845,-1.1858850454431387,0.7449036333808225,-1.181161884320405
Case097,-0.22911733838323656,-0.813955737579512,0.29653709706671655,-0.4117045700030065,0.5834033884798646,-0.17824199671420224,-0.32783224592706783,-0.2827370517845774,-0.4877365494192132,-0.9530331761987931,-0.34266488769930903,-0.3874404014639697,0.8423364323265202,-1.0958429866815278,0.29547521541905464
Case098,2.675260290413723,-0.774635817632434,-1.3573876296330318,-0.08965310883125258,-0.6141012749435608,-0.22022012359443172,0.2958817113535172,0.3406078872673962,1.032590499782558,-0.3883622446301435,-0.20883303285209712,-0.36679457212296346,-0.38489311761881895,0.0163367587918139,-1.132591107023696
Case099,-0.21750721118577127,-1.6825476393234702,0.8044248596692289,-0.7024067705682551,-1.5686858904031915,0.24280341719245113,-0.16887291058326523,0.8000666015982567,-0.39719853980881065,-0.7615041233329003,-0.06493069513798815,-0.10728995148537097,-0.032861600640191994,0.7467385897835892,0.8204778980520875
