case_id,original_shape_Elongation,original_shape_MajorAxisLength,original_firstorder_10Percentile,original_firstorder_Energy,original_glcm_Idn,original_glcm_SumSquares,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Strength
Case348,-0.7721555213255238,-0.38780608241073666,1.070922485329791,-0.02428689133496062,0.8245281976855545,-0.27281369838067165,1.0505579430541938,-0.9601865417597045,0.1746805316335953,-0.2637077638814154,-0.22688006351809556,0.05604415538327599,-0.2800271761445116,-0.11780291900839154,0.07592293719485425
Case349,-1.3525475796961606,1.1859729295705332,0.9340340819159244,-0.0229528141151891,0.27990261987357157,-0.23117492516229665,-0.30030656857749166,0.3809919772153548,-0.11648085892903816,-0.25044429058976303,-0.06067884106761499,-0.19897552610773997,-0.25535002415065544,-0.15315921599272203,-0.30092972449004257
Case353,1.3355268135605947,-0.3197915519675567,-0.6616746979761544,-0.17379703417317582,-0.4741201278830394,0.722898316620485,-0.25759495272314525,0.563171103066049,-0.027937235366272226,-0.23929066790183978,0.5697832635083194,0.9537111918148079,0.50150795879264,-0.06714861570581382,0.47928936553625767
Case354,-0.470185425764947,1.004798458596311,0.5438690673546619,0.16827816295984657,1.7774758438927751,-0.24783037900624677,2.0939784644859434,-1.277270979907233,0.19599949766593366,-0.22694697534957228,-0.7946791119921791,1.278553081307152,-0.7717970220328743,-0.14828252878104872,-0.23928650785743166
Case355,1.3576682617249056,-0.9757560376501142,-0.13991165307982215,-0.23180934895372804,-0.06598990394782121,-0.32279076340283663,-0.4109143849534004,-0.6894590372494969,-0.22339262661625864,0.3218942510601077,-0.7900511380539714,-0.5677721785061117,-0.05266195894630037,-0.2008759253711634,-0.4094295627684293
Case356,0.5259038179221308,1.3944678365577827,0.9287437088371275,0.29037676672231355,0.5039356848426481,-0.17963457532773103,1.0669939704549978,-1.102508837693443,0.16785991605016312,-0.27848834184581667,-0.24296405297140394,0.20479650952079742,-1.0525681974041643,-0.09587784264861532,-0.481843621012372
Case357,-1.3537723531856531,0.27322525607523357,-0.9529758656274022,-0.340976378552056,-1.59387383913001,-0.4258296180271883,-1.1685966805768644,5.077280772436911,-0.5013586555114716,-0.10290509978583287,0.5342343739466879,-2.162579705521889,1.475543055499592,-0.2341993450299186,-0.557248499860469
Case358,1.164563912178367,0.021692753108238292,0.12096986936834438,-0.06818085812178358,1.4843478337181844,-0.35851587021071507,1.3975508106924646,-0.5393454391842935,-0.18640043139511805,-0.06782825267984431,-0.5009132705781868,-0.004468650981514076,-0.5852632613423518,-0.19792465909577495,-0.5342404756642637
Case359,0.19483801929862574,-0.5993352685679498,0.912717335846712,-0.06437914231700217,0.6823999682696029,0.038291226596031194,0.7629398121258698,-0.7188786548446756,0.4355441150314759,-0.28758968357935605,0.15325013404328092,0.5203694309093495,0.06356196677443947,-0.0013399013735688867,1.1986005061605909
Case360,0.8939085516134054,0.5131090730799286,1.3893498520468022,0.1631603599153784,0.8071780391217431,0.018278800880261226,1.950420621958814,-1.031739689547382,0.5207114262313,-0.28459753254838527,-0.13331316177244895,0.6452520960098684,-0.41701944061308993,-0.04038232194303922,0.6791384780806106
